UNIVERSITIES,SCHOOL TYPE,ENTRANCE EXAM,DEGREE PROGRAMS,LOCATION,WEBSITE LINK
University of Perpetual Help System DALTA - Las Piñas,Private,Required,"BS ACCOUNTANCY, BS ACCOUNTING TECHNOLOGY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS CUSTOMS ADMINISTRATION, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS FINANCIAL MANAGEMENT, BS MARKETING MANAGEMENT, BS MANAGEMENT ACCOUNTING, BS ECONOMICS, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS INFORMATION SYSTEMS, BS PSYCHOLOGY, BS MASS COMMUNICATION, BS NURSING, BS PHARMACY, BS BIOLOGY, BS MEDICAL TECHNOLOGY, BS CRIMINOLOGY, BS SECONDARY EDUCATION, BS ELEMENTARY EDUCATION",City of Las Piñas,https://perpetualdalta.edu.ph/
St. Scholastica's College,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ECONOMICS, BS MARKETING MANAGEMENT, BS HUMAN RESOURCE MANAGEMENT, BS ENTREPRENEURSHIP, BS INFORMATION TECHNOLOGY, BS INTERIOR DESIGN, BS NUTRITION AND DIETETICS, BS PSYCHOLOGY, BA COMMUNICATION ARTS, BA ENGLISH STUDIES, BA PHILOSOPHY, BA APPLIED ARTS, BA INTERNATIONAL STUDIES, BA BEHAVIORAL SCIENCE, BA EARLY CHILDHOOD EDUCATION, BA ELEMENTARY EDUCATION, BA SECONDARY EDUCATION",City of Manila,https://ssc.edu.ph/
St. Paul University Manila,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS FINANCIAL MANAGEMENT, BS MARKETING MANAGEMENT, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS PSYCHOLOGY, BS INDUSTRIAL PSYCHOLOGY, BS INTERIOR DESIGN, BS ARCHITECTURE, BS EDUCATION, BA COMMUNICATION ARTS, BA ENGLISH LANGUAGE STUDIES, BA POLITICAL SCIENCE, BA INTERNATIONAL RELATIONS, BA ECONOMICS, BA HISTORY, BA PHILOSOPHY, BA THEOLOGY, BA SOCIAL SCIENCES, BA MASS COMMUNICATION",City of Manila,https://spumanila.edu.ph/
Far Eastern University,Private,Required,"BS ACCOUNTANCY, BS ACCOUNTING TECHNOLOGY, BS BUSINESS ADMINISTRATION, BS FINANCIAL MANAGEMENT, BS MARKETING MANAGEMENT, BS HUMAN RESOURCE MANAGEMENT, BS ENTREPRENEURSHIP, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS INFORMATION SYSTEMS, BS CIVIL ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS MECHANICAL ENGINEERING, BS ARCHITECTURE, BS INTERIOR DESIGN, BS INDUSTRIAL ENGINEERING, BS CLOTHING TECHNOLOGY, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS PSYCHOLOGY, BS BIOLOGY, BS MEDICAL TECHNOLOGY, BS NURSING, BS PHARMACY, BS HEALTH SCIENCES, BS CRIMINOLOGY, BS CUSTOMS ADMINISTRATION, BS MARINE TRANSPORTATION, BS MARINE ENGINEERING, BS SECONDARY EDUCATION, BS ELEMENTARY EDUCATION",City of Manila,https://www.feu.edu.ph/
Lyceum of the Philippines University,Private,Required,"BS ACCOUNTANCY, BS ACCOUNTING TECHNOLOGY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS FINANCIAL MANAGEMENT, BS MARKETING MANAGEMENT, BS HUMAN RESOURCE DEVELOPMENT MANAGEMENT, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS CUSTOMS ADMINISTRATION, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS INFORMATION SYSTEMS, BS PSYCHOLOGY, BS LEGAL MANAGEMENT, BS CRIMINOLOGY, BS ARCHITECTURE, BS INTERIOR DESIGN, BS INDUSTRIAL ENGINEERING, BS CIVIL ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS MECHANICAL ENGINEERING, BS BIOLOGY, BS MARINE TRANSPORTATION, BS MARINE ENGINEERING, BS NURSING, BS PHARMACY, BS MEDICAL TECHNOLOGY, BS SECONDARY EDUCATION, BS ELEMENTARY EDUCATION",City of Manila,https://www.lpu.edu.ph/
Emilio Aguinaldo College,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS FINANCIAL MANAGEMENT, BS MARKETING MANAGEMENT, BS HUMAN RESOURCE MANAGEMENT, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS INFORMATION SYSTEMS, BS PSYCHOLOGY, BS NURSING, BS PHARMACY, BS MEDICAL TECHNOLOGY, BS RADIOLOGIC TECHNOLOGY, BS PHYSICAL THERAPY, BS OCCUPATIONAL THERAPY, BS NUTRITION AND DIETETICS, BS PUBLIC HEALTH, BS BIOLOGY, BS CRIMINOLOGY, BS SECONDARY EDUCATION, BS ELEMENTARY EDUCATION",City of Manila,https://www.eac.edu.ph/
La Consolacion College - Manila,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS FINANCIAL MANAGEMENT, BS MARKETING MANAGEMENT, BS HUMAN RESOURCE MANAGEMENT, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS PSYCHOLOGY, BS NURSING, BS MEDICAL TECHNOLOGY, BS PHARMACY, BS BIOLOGY, BS CRIMINOLOGY, BS SECONDARY EDUCATION, BA COMMUNICATION, BA POLITICAL SCIENCE, BA PHILOSOPHY, BA HISTORY",City of Manila,https://www.lccm.edu.ph/
The National Teachers College,Private,Required,"BS ELEMENTARY EDUCATION, BS SECONDARY EDUCATION, BS EARLY CHILDHOOD EDUCATION, BS SPECIAL NEEDS EDUCATION, BS LIBRARY AND INFORMATION SCIENCE, BS PSYCHOLOGY, BS CRIMINOLOGY, BS BUSINESS ADMINISTRATION, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BA COMMUNICATION, BA POLITICAL SCIENCE, BA PHILOSOPHY, BA HISTORY",City of Manila,https://ntc.edu.ph/
Lyceum of Alabang,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS FINANCIAL MANAGEMENT, BS MARKETING MANAGEMENT, BS HUMAN RESOURCE MANAGEMENT, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS PSYCHOLOGY, BS NURSING, BS MEDICAL TECHNOLOGY, BS PHARMACY, BS BIOLOGY, BS CRIMINOLOGY, BS SECONDARY EDUCATION, BA COMMUNICATION, BA POLITICAL SCIENCE, BA PHILOSOPHY, BA HISTORY",City of Muntinlupa,https://lyceumalabang.edu.ph/
Technological Institute of the Philippines - Quezon City,Private,Required,"BS ARCHITECTURE, BS CIVIL ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BS MECHANICAL ENGINEERING, BS COMPUTER ENGINEERING, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS CRIMINOLOGY, BS PSYCHOLOGY, BS SECONDARY EDUCATION, BA COMMUNICATION, BA POLITICAL SCIENCE, BA PHILOSOPHY, BA HISTORY, BS CHEMICAL ENGINEERING",Quezon City,https://www.tip.edu.ph/
De La Salle Araneta University,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS FINANCIAL MANAGEMENT, BS MARKETING MANAGEMENT, BS HUMAN RESOURCE MANAGEMENT, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS PSYCHOLOGY, BS NURSING, BS MEDICAL TECHNOLOGY, BS PHARMACY, BS BIOLOGY, BS CRIMINOLOGY, BS SECONDARY EDUCATION, BA COMMUNICATION, BA POLITICAL SCIENCE, BA PHILOSOPHY, BA HISTORY",City of Malabon,https://www.dlsau.edu.ph/#gsc.tab=0
Miriam College,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS FINANCIAL MANAGEMENT, BS MARKETING MANAGEMENT, BS HUMAN RESOURCE MANAGEMENT, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS PSYCHOLOGY, BS NURSING, BS MEDICAL TECHNOLOGY, BS BIOLOGY, BS CRIMINOLOGY, BS SECONDARY EDUCATION, BA PHILOSOPHY, BA HISTORY, BA INTERNATIONAL STUDIES",Quezon City,www.mc.edu.ph
Trinity University of Asia,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS FINANCIAL MANAGEMENT, BS MARKETING MANAGEMENT, BS HUMAN RESOURCE MANAGEMENT, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS PSYCHOLOGY, BS NURSING, BS MEDICAL TECHNOLOGY, BS BIOLOGY, BS CRIMINOLOGY, BS SECONDARY EDUCATION, BA COMMUNICATION, BA POLITICAL SCIENCE, BA PHILOSOPHY, BA HISTORY",Quezon City,https://www.tua.edu.ph/
Colegio de San Juan de Letran,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS FINANCIAL MANAGEMENT, BS MARKETING MANAGEMENT, BS HUMAN RESOURCE MANAGEMENT, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS PSYCHOLOGY, BS NURSING, BS MEDICAL TECHNOLOGY, BS BIOLOGY, BS CRIMINOLOGY, BS SECONDARY EDUCATION, BA COMMUNICATION, BA POLITICAL SCIENCE, BA PHILOSOPHY, BA HISTORY",City of Manila,https://www.letran.edu.ph/
University of Asia and the Pacific,Private,Required,"BS ACCOUNTANCY, BS MANAGEMENT, BS INFORMATION TECHNOLOGY, BS COMMUNICATION, BS COMPUTER SCIENCE, BS INDUSTRIAL ECONOMICS, BS INTERDISCIPLINARY STUDIES, BA PSYCHOLOGY, BA POLITICAL ECONOMY, BA LEGAL MANAGEMENT",City of Pasig,https://uap.asia/about
De La Salle - College of Saint Benilde,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS FINANCIAL MANAGEMENT, BS MARKETING MANAGEMENT, BS HUMAN RESOURCE MANAGEMENT, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS INTERIOR DESIGN, BS INDUSTRIAL DESIGN, BS MULTIMEDIA ARTS, BS DIGITAL MARKETING MANAGEMENT, BS INFORMATION SYSTEMS, BS LEGAL MANAGEMENT, BA COMMUNICATION, BA DIGITAL FILMMAKING, BA FILM, BA MUSIC PRODUCTION, BA FASHION DESIGN AND MERCHANDISING, BA INTERIOR DESIGN, BA THEATER ARTS, BA MULTIMEDIA ARTS, BA INTERNATIONAL STUDIES, BA CONSERVATION AND RESTORATION OF CULTURAL PROPERTY",City of Manila,https://www.benilde.edu.ph/
Technological Institute of the Philippines - Manila,Private,Required,"BS ARCHITECTURE, BS CIVIL ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BS COMPUTER ENGINEERING, BS MECHANICAL ENGINEERING, BS MARINE ENGINEERING, BS MARITIME TRANSPORTATION, BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS IN ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS OFFICE ADMINISTRATION, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS CULINARY MANAGEMENT, BS INTERIOR DESIGN, BS ARCHITECTURAL DESIGN AND TECHNOLOGY, BS INFORMATION SYSTEMS",City of Manila,https://www.tip.edu.ph/
San Sebastian College - Recoletos,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ACCOUNTING TECHNOLOGY, BS ENTREPRENEURSHIP, BS FINANCIAL MANAGEMENT, BS HUMAN RESOURCE MANAGEMENT, BS MARKETING MANAGEMENT, BS ECONOMICS, BS CUSTOMS ADMINISTRATION, BS MANAGEMENT ACCOUNTING, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS INFORMATION SYSTEMS, BS INDUSTRIAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS ARCHITECTURE, BS INTERIOR DESIGN, BS PSYCHOLOGY, BA COMMUNICATION, BA MULTIMEDIA ARTS, BA JOURNALISM, BA BROADCASTING, BA LITERATURE, BA PHILOSOPHY, BA HISTORY",City of Manila,https://sscrmnl.edu.ph/
Siena College,Private,Required,"BS PSYCHOLOGY, BS NUTRITION AND DIETETICS, BS INFORMATION TECHNOLOGY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS ACCOUNTANCY, BS MANAGEMENT ACCOUNTING, BS COMPUTER SCIENCE, BS SECONDARY EDUCATION, BA COMMUNICATION, BA POLITICAL SCIENCE, BA PHILOSOPHY, BA HISTORY, BS CHEMICAL ENGINEERING",Quezon City,https://scqc.edu.ph/
Central Colleges of the Philippines,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BS FINANCIAL MANAGEMENT, BS MARKETING MANAGEMENT, BS HUMAN RESOURCE MANAGEMENT, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS PSYCHOLOGY, BS NURSING, BS MEDICAL TECHNOLOGY, BS BIOLOGY, BS CRIMINOLOGY, BS SECONDARY EDUCATION, BA COMMUNICATION, BA POLITICAL SCIENCE, BA PHILOSOPHY, BA HISTORY",Quezon City,https://ccp.edu.ph/
Santa Isabel College,Private,Required,"BA EGLISH, BACHELOR IN ELEMENTARY EDUCATION, BACHELOR IN SECONDARY EDUCATION, BS BUSINESS ADMINISTRATION, BS ACCOUNTANCY, BS HOSPITALITY MANAGEMENT, BS INFORMATION TECHNOLOGY, BACHELOR OF MUSIC",City of Manila,https://santaisabel.edu.ph/
St. Paul University Quezon City,Private,Required,"BA COMMUNICATION, BA POLITICAL SCIENCE, BA RELIGIOUS EDUCATION, BS ACCOUNTANCY, BS BIOLOGY, BS BUSINESS ADMINISTRATION, BS EDUCATION, BS ENTREPRENEURSHIP,  BS HOSPITALITY MANAGEMENT, BS INFORMATION TECHNOLOGY, BS MANAGEMENT ACCOUNTING, BS NURSING, BS PSYCHOLOGY, BS TOURISM MANAGEMENT",Quezon City,https://spuqc.edu.ph/
San Beda College Alabang,Private,Required,"BACHELOR IN EARLY CHILDHOOD EDUCATION, BACHELOR IN SECONDARY EDUCATION, BA INTERNATIONAL STUDIES, BS ACCOUNTANCY, BS ACCOUNTING INFORMATION SYSTEMS, BS COMPUTER ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BS INFORMATION TECHNOLOGY",City of Muntinlupa,https://www.sanbeda-alabang.edu.ph/
La Concordia College,Private,Required,"BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BS SOCIAL WORK, BS NURSING, BS BUSINESS ADMINISTRATION",City of Manila,https://laconcordia.edu.ph/
Manuel L. Quezon University,Private,Required,"BS LAW, BS ARCHITECTURE, BS CRIMINOLOGY, BS MECHANICAL ENGINEERING, BS ACCOUNTANCY, BS REAL ESTATE MANAGEMENT",Quezon City,https://www.mlqu.ph/
San Beda University,Private,Required,"BS ACCOUNTANCY, BA LITERATURE, BA ENGLISH, BS ENVIRONMENTAL SCIENCE, BS ENTREPRENEURSHIP, BS HUMAN BIOLOGY, BS FINANCIAL MANAGEMENT, BS HUMAN RESOURCE DEVELOPMENT MANAGEMENT, BS INFORMATION AND COMMUNICATIONS TECHNOLOGY, BA LEGAL MANAGEMENT, BACHELOR IN PHYSICAL EDUCATION, BS POLITICAL SCIENCE, BS PSYCHOLOGY, BA PSYCHOLOGY, ",City of Manila,https://www.sanbeda.edu.ph/
Centro Escolar University - Makati Gil Puyat,Private,Required,"BS ACCOUNTANCY, BS LEGAL MANAGEMENT, BS BUSINESS ADMINISTRATION, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS INTERNATIONAL HOSPITALITY MANAGEMENT, BS MEDICAL TECHNOLOGY, BS NURSING, BS PHARMACY, ",City of Makati,https://makati.ceu.edu.ph/
AMA Computer University - Quezon City,Private,Required,"BS COMPUTER SCIENCE, BS INFORMATION SYSTEMS, BS INFORMATION TECHNOLOGY, BS COMPUTER ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BACHELOR IN BUSINESS ADMINISTRATION, BS ACCOUNTANCY, BA ENGLISH, BA ECONOMICS, BA MASS COMMUNICATION, BA POLITICAL SCIENCE",Quezon City,https://www.ama.edu.ph/
Far Eastern University Institute of Technology,Private,Required,"BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BA MULTIMEDIA ARTS, BS CIVIL ENGINEERING, BS COMPUTER ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS MECHANICAL ENGINEERING",City of Manila,https://www.feutech.edu.ph/
Immaculate Heart of Mary College,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ELEMENTARY EDUCATION, BS SECONDARY EDUCATION, BS INFORMATION TECHNOLOGY, BS PSYCHOLOGY",City of Parañaque,https://ihmc-p.edu.ph/
iAcademy,Private,Required,"BS COMPUTER SCIENCE, BS BUSINESS ADMINISTRATION, BS REAL ESTATE MANAGEMENT, BA PSYCHOLOGY, BS ACCOUNTANCY, BA FASHION DESIGN AND TECHNOLOGY, BA MULTIMEDIA ARTS, BACHELOR OF MUSIC",City of Makati,https://iacademy.edu.ph/index.php
University of the East Ramon Magsaysay,Private,Required,"BS PHYSICAL THERAPY, BS NURSING, BS MEDICAL TECHNOLOGY",Quezon City,https://www.uerm.edu.ph/#/
Airlink International Aviation College,Private,Required,"BS AVIATION, BS AEROSPACE ENGINEERING, BS AVIONICS TECHNOLOGY, BS TOURISM, BS CUSTOMS ADMINISTRATION",City of Pasay,https://aliac.edu.ph/
Perpetual Help College of Manila,Private,Required,"BS NURSING, BS OCCUPATIONAL THERAPY, BS PHYSICAL THERAPY, BS RADIOLOGIC TECHNOLOGY, BA COMMUNICATION, BS BUSINESS ADMINISTRATION, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS INTERNATION HOSPITALITY MANAGEMENT, BS TOURISM",City of Manila,https://www.uphsl.edu.ph/manila/
La Consolacion College - Caloocan,Private,Required,"BS TOURISM MANAGEMENT, BS BUSINESS ADMINISTRATION, BS HOSPITALITY MANAGEMENT, BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION",City of Caloocan,https://lccc.edu.ph/
MFI Polytechnic Institute,Private,Required,"BS INFORMATION TECHNOLOGY, BS AUTOMOTIVE TECHNOLOGY",City of Pasig,https://www.mfi.org.ph/
Don Bosco Technical College,Private,Required,"BS INFORMATION TECHNOLOGY, BS MECHANICAL ENGINEERING",City of Mandaluyong,https://dbmanda.one-bosco.org/
Philippine School of Business Administration - Manila Campus,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION",City of Manila,https://www.psba.edu/en/
Asian Institue of Maritime Studies,Private,Required,"BS MARINE ENGINEERING, BS MARINE TRANSPORTATION, BS CUSTOMS ADMINISTRATION, BS BUSINESS ADMINISTRATION, BS COMPUTER SCIENCE, BS HOSPITALITY MANAGEMENT, BS MECHANICAL ENGINEERING, BS ELECTRICAL ENGINEERING, BS INDUSTRIAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS NAVAL ARCHITECTURE",City of Pasay,https://www.aims.edu.ph/
Far Eastern University Nicanor Reyes Medical Foundation,Private,Required,"BS MEDICAL TECHNOLOGY, BS NURSING, BS PHARMACY, BS PHYSICAL THERAPY, BS PSYCHOLOGY, BS RADIOLOGIC TECHNOLOGY, BS RESPIRATORY THERAPY ",Quezon City,https://www.feu-nrmf.edu.ph/
Asian Institue of Management,Private,Required,"BS DATA SCIENCE, BS BUSINESS ADMINISTRATION, BACHELOR OF BUSINESS ADMINISTRATION",City of Makati,https://aim.edu/
Far Eastern University - Makati,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS BUSINESS ECONOMICS, BS HUMAN RESOURCE AND ORGANIZATIONAL DEVELOPMENT, BS ARCHITECTURE, BACHELOR OF FINE ARTS, BS APPLIED MATHEMATICS, BS CHEMISTRY, BS BIOLOGY, BA COMMUNICATION, BA INTERDISCIPLINARY STUDIES, BA INTERNATIONAL STUDIES, BA POLITICAL SCIENCE, BS PSYCHOLOGY, BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BACHELOR OF SPECIAL NEEDS EDUCATION, BACHELOR OF PHYSICAL EDUCATION",City of Makati,https://www.feu.edu.ph/feu-makati/
San Juan De Dios Educational Foundation,Private,Required,"BS NURSING, BS MEDICAL TECHNOLOGY, BS PHYSICAL THERAPY, BS HOSPITALITY MANAGEMENT, BS ENTREPRENEURSHIP, BS OFFICE ADMINISTRATION",City of Pasay,https://sjdefi.edu.ph/
Southeast Asian College,Private,Required,"BS NURSING, BS PHYSICAL THERAPHY, BS RADIOLOGIC TECHNOLOGY, BS TOURISM MANAGEMENT, BS HOSPITALITY MANAGEMENT",Quezon City,https://saci.edu.ph/
Chinese General Hospital Colleges,Private,Required,"BS ACCOUNTANCY, BS ENTREPRENEURSHIP, BS PHYSICAL THERAPY, BS PSYCHOLOGY, BS RADIOLOGIC TECHNOLOGY",City of Manila,https://www.cghc.edu.ph/
Philippine Women's University - Quezon City,Private,Required,"BA COMMUNICATION, BA PSYCHOLOGY, BS ENVIRONMENTAL SCIENCE, BS INFORMATION TECHNOLOGY, BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BA FINE ARTS, BS FOOD TECHNOLOGY, BS HOSPITALITY MANAGEMENT, BS MEDICAL TECHNOLOGY, BACHELOR OF MUSIC, BS NURSING, BS PHARMACY, BS NUTRITION, BS TOURISM, BS SOCIAL WORK",Quezon City,https://www.pwu.edu.ph/
Makati Medical Center College,Private,Required,"BS NURSING, BS PSYCHOLOGY, BS RADIOLOGIC TECHNOLOGY",City of Makati,https://medicicollege.com/
Informatics College Manila,Private,Required,"BS INFORMATION TECHNOLOGY, BS COMPUTER SCIENCE, BS INFORMATION SYSTEMS, BS BUSINESS ADMINISTRATION, BS OFFICE ADMINISTRATION",City of Manila,https://informatics.edu.ph/
Saint Dominic Savio College,Private,Required,"BS COMPUTER SCIENCE, BS COMPUTER ENGINEERING, BS INFORMATION TECHNOLOGY, BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BUSINESS HOSPITALITY MANAGEMENT",City of Caloocan,https://sdsc.edu.ph/
Universal Colleges of Parañaque,Private,Required,"BS NURSING, BS ARCHITECTURE, BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BS INFORMATION TECHNOLOGY,  BS BUSINESS ADMINISTRATION, BS ACCOUNTANCY, BS TOURISM, BS NURSING",City of Parañaque,https://www.ucp.edu.ph/index/
Asian College - Quezon City,Private,Required,"BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS MANAGEMENT ACCOUNTING, BS COMPUTER ENGINEERING, BS COMPUTER SCIENCE, BS ELECTRONICS TECHNOLOGY, BS INFORMATION TECHNOLOGY, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT",Quezon City,https://www.asiancollege.edu.ph/
La Consolacion College - Novaliches,Private,Required,"BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION",City of Caloocan,https://www.lccn.edu.ph/
Chiang Kai Shek College,Private,Required,"BS ACCOUNTANCY, BS ACCOUNTING TECHNOLOGY, BS BUSINESS MANAGEMENT, BA BUSINESS MANAGEMENT, BS ENTRPRENEURSHIP, BS HOTEL AND RESTAURANT MANAGEMENT, BS COMPUTER SCIENCE, BS INFORMATION SYSTEMS, BS INFORMATION TECHNOLOGY, BACHELOR OF SECONDARY EDUCATION ",City of Manila,https://www.cksc.edu.ph/
FEU Roosevelt Marikina,Private,Required,"BS ACCOUNTANCY, BS ACCOUNTING TECHNOLOGY, BS BUSINESS ADMINISTRATION, BS FINANCIAL MANAGEMENT, BS MARKETING MANAGEMENT, BS HUMAN RESOURCE MANAGEMENT, BS ENTREPRENEURSHIP, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS INFORMATION SYSTEMS, BS CIVIL ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS MECHANICAL ENGINEERING, BS ARCHITECTURE, BS INTERIOR DESIGN, BS INDUSTRIAL ENGINEERING, BS CLOTHING TECHNOLOGY, BS HOSPITALITY MANAGEMENT, BS TOURISM MANAGEMENT, BS PSYCHOLOGY, BS BIOLOGY, BS MEDICAL TECHNOLOGY, BS NURSING, BS PHARMACY, BS HEALTH SCIENCES, BS CRIMINOLOGY, BS CUSTOMS ADMINISTRATION, BS MARINE TRANSPORTATION, BS MARINE ENGINEERING, BS SECONDARY EDUCATION, BS ELEMENTARY EDUCATION",City of Marikina,https://feuroosevelt.edu.ph/
Saint Bernadette College of Alabang,Private,Required,"BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OFSECONDARY EDUCATION, BS HOSPITALITY MANAGEMENT, BS INFORMATION TECHNOLOGY, BS BUSINESS ADMINISTRATION, BS ENTREPRENEURSHIP, BA PSYCHOLOGY",City of Muntinlupa,https://sbca.edu.ph/
Gardner College,Private,Required,"BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS INFORMATION SYSTEMS, BS BUSINESS ADMINISTRATION, BS REAL ESTATE MANAGEMENT, BS COMPUTER ENGINEERING, BA MULTIMEDIA ARTS, BACHELOR OF SECONDARY EDUCATION",Quezon City,https://gardner.edu.ph/
Metro Manila College,Private,Required,"BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BS BUSINESS ADMINISTRATION, BS CRIMINOLOGY, BS EDUCATION IN SOCIAL SCIENCE",Quezon City,http://mmc.edu.ph/?fbclid=IwZXh0bgNhZW0CMTAAAR1uAhXAx8cZ_pWc7sSKjhkMPoO-bB5uYJ5OX350BUAWCATeSAfvGH5KXIo_aem_AWDJb540am_eJ684XaWbJ8CZKZ_730la_SDp70GLZNFGFwt1FCLYB7s6T6PYeV8ckhlMZgr-hLaU1MgJS-uKOtvk
