DEGREE PROGRAM,ABBREVIATION,DESCRIPTION,PROGRAM OUTCOMES
BS AERONAUTICAL ENGINEERING,BSAE,"BS Aeronautical Engineering focuses on the design, development, and maintenance of aircraft and aerospace systems. The program includes courses in aerodynamics, propulsion, aircraft structures, flight mechanics, and aerospace materials.","Graduates can work as aeronautical engineers, aerospace engineers, aircraft designers, or aviation technicians. They can find employment in aerospace companies, aircraft manufacturers, research institutions, and government aerospace agencies."
BS AEROSPACE ENGINEERING,BSAeE,"BS Aerospace Engineering focuses on the design, development, and testing of aerospace vehicles and systems. The program includes courses in aerodynamics, propulsion, space systems, flight mechanics, and aerospace structures.","Graduates can work as aerospace engineers, spacecraft designers, flight test engineers, or propulsion engineers. They can find employment in aerospace companies, space agencies, defense contractors, and research institutions."
BS AGRI-BUSINESS,BSAgrB,"BS Agri-Business combines agricultural sciences with business management principles. The program focuses on the business aspects of agriculture, including farm management, marketing, finance, and agricultural economics.","Graduates can work as agricultural business managers, farm managers, agribusiness consultants, or agricultural economists. They can find employment in agricultural companies, food processing firms, agricultural cooperatives, and government agencies."
BS AGRI-BUSINESS ADMINISTRATION,BSAAdm,"BS Agri-Business Administration emphasizes the management and administration of agribusiness enterprises. The program includes courses in business management, agricultural economics, marketing, and farm operations.","Graduates can work as agribusiness managers, farm administrators, agricultural economists, or marketing specialists. They can find employment in agricultural companies, food processing firms, agricultural cooperatives, and government agencies."
BS AGRI-BUSINESS MANAGEMENT,BSABM,"BS Agri-Business Management focuses on the strategic management of agribusiness enterprises. The program includes courses in business strategy, financial management, supply chain management, and agricultural policy.","Graduates can work as agribusiness managers, agricultural consultants, farm operations managers, or agricultural policy analysts. They can find employment in agricultural companies, food processing firms, agricultural cooperatives, and government agencies."
BS AGRICULTURAL ADMINISTRATION,BSAgAD,"BS Agricultural Administration prepares students for administrative roles in the agricultural sector. The program includes courses in agricultural policy, agricultural economics, farm management, and rural development.","Graduates can work as agricultural administrators, rural development officers, agricultural policy analysts, or agricultural extension agents. They can find employment in government agencies, agricultural cooperatives, non-profit organizations, and international development agencies."
BS AGRICULTURAL CHEMISTRY,BSAChe,"BS Agricultural Chemistry focuses on the study of chemical processes related to agriculture, including soil chemistry, plant nutrition, and pesticide management. The program includes courses in organic chemistry, biochemistry, analytical chemistry, and environmental chemistry.","Graduates can work as agricultural chemists, soil scientists, crop consultants, or environmental analysts. They can find employment in agricultural research institutions, government agencies, agrochemical companies, and environmental consulting firms."
BS AGRICULTURAL DEVELOPMENT,BSAgD,"BS Agricultural Development focuses on strategies and policies for promoting agricultural growth and sustainability. The program includes courses in agricultural economics, rural development, agricultural policy, and sustainable agriculture practices.","Graduates can work as agricultural development officers, rural development specialists, agricultural policy analysts, or community development coordinators. They can find employment in government agencies, international development organizations, non-profit organizations, and agricultural cooperatives."
BS AGRICULTURAL ECONOMICS,BSAgE,"BS Agricultural Economics examines the economic aspects of agriculture and agribusiness. The program includes courses in microeconomics, macroeconomics, agricultural finance, farm management, and agricultural marketing.","Graduates can work as agricultural economists, market analysts, farm managers, or agricultural policy advisors. They can find employment in government agencies, agricultural companies, financial institutions, and research organizations."
BS AGRICULTURAL EDUCATION,BSAgEd,"BS Agricultural Education prepares students to teach agricultural science and related subjects. The program includes courses in agricultural science, teaching methods, curriculum development, and educational psychology.","Graduates can become agricultural science teachers, agricultural extension agents, youth development coordinators, or educational program coordinators. They can work in secondary schools, agricultural extension agencies, vocational training centers, and educational institutions."
BS AGRICULTURAL ENGINEERING,BSAgrE,"BS Agricultural Engineering focuses on the application of engineering principles to agricultural production and processing. The program includes courses in agricultural machinery, irrigation systems, farm structures, and agricultural waste management.","Graduates can work as agricultural engineers, irrigation specialists, farm equipment designers, or agricultural project managers. They can find employment in agricultural engineering firms, government agencies, equipment manufacturers, and research institutions."
BS AGRICULTURAL EXTENSION,BSAgEx,"BS Agricultural Extension focuses on transferring agricultural knowledge and technology to farmers and rural communities. The program includes courses in extension education, agricultural communication, program planning, and community development.","Graduates can work as agricultural extension agents, community development officers, agricultural communication specialists, or program evaluators. They can find employment in agricultural extension agencies, non-profit organizations, government agencies, and international development organizations."
BS AGRICULTURAL EXTENSION EDUCATION,BSAgEE,"BS Agricultural Extension Education prepares students to teach and administer agricultural extension programs. The program includes courses in extension education theory, program development, instructional design, and evaluation.","Graduates can become agricultural extension educators, program coordinators, extension specialists, or agricultural outreach coordinators. They can work in agricultural extension agencies, educational institutions, non-profit organizations, and government agencies."
BS AGRICULTURAL HOMEMAKING,BSAgrH,"BS Agricultural Homemaking focuses on the management of household resources and family living in rural settings. The program includes courses in home economics, nutrition, family resource management, and rural sociology.","Graduates can work as family and consumer science educators, community nutritionists, family counselors, or home economists. They can find employment in schools, extension agencies, community organizations, and government agencies."
BS AGRICULTURAL TECHNOLOGY,BSAgT,"BS Agricultural Technology provides training in the application of technology to agricultural production and management. The program includes courses in agricultural science, technology applications, farm machinery, and agricultural business management.","Graduates can work as agricultural technologists, farm managers, agricultural equipment technicians, or agricultural business consultants. They can find employment in agricultural companies, government agencies, agricultural cooperatives, and research institutions."
BS AGRICULTURE,BSAgri,"BS Agriculture offers a comprehensive education in agricultural science and technology. The program covers various aspects of agriculture, including crop production, animal husbandry, soil science, agricultural economics, and sustainable agriculture practices.","Graduates can work in various roles in agriculture, including farm management, agricultural research, agribusiness management, and agricultural extension. They can find employment in farms, agricultural companies, government agencies, research institutions, and non-profit organizations."
BS AGRO-FORESTRY,BSAgrF,"BS Agro-Forestry integrates principles of agriculture and forestry to manage land for sustainable production of crops, timber, and other forest products. The program includes courses in forestry management, agro-ecology, soil conservation, and sustainable land use practices.","Graduates can work as agro-forestry specialists, forest managers, conservation officers, or environmental consultants. They can find employment in forestry companies, environmental organizations, government agencies, and non-profit organizations."
BS AGRO-FORESTRY ENTEPRENEURSHIP,BSAgFE,"BS Agro-Forestry Entrepreneurship combines knowledge of agro-forestry with business skills to prepare students for entrepreneurial ventures in sustainable land management. The program includes courses in business management, entrepreneurship, marketing, and agro-forestry practices.","Graduates can start their own agro-forestry businesses, such as tree farms, agro-ecotourism ventures, or sustainable land management consulting firms. They can also work in forestry companies, environmental organizations, or government agencies promoting sustainable land use."
BS AGRONOMY,BSAgro,"BS Agronomy focuses on the science and management of crop production and soil management. The program includes courses in crop physiology, soil fertility, pest management, crop genetics, and sustainable agriculture practices.","Graduates can work as agronomists, crop consultants, soil scientists, or agricultural extension agents. They can find employment in agricultural companies, government agencies, research institutions, and international development organizations."
BS AIRCRAFT MAINTENANCE ENGINEERING,BSAME,"BS Aircraft Maintenance Engineering trains students to inspect, repair, and maintain aircraft systems and components. The program includes courses in aircraft systems, aviation regulations, maintenance procedures, and aircraft troubleshooting.","Graduates can work as aircraft maintenance engineers, aircraft technicians, aviation inspectors, or maintenance supervisors. They can find employment in airlines, aircraft maintenance facilities, aviation regulatory agencies, and aerospace companies."
BS AIRCRAFT MAINTENANCE TECHNOLOGY,BSAMT,"BS Aircraft Maintenance Technology focuses on the technical aspects of aircraft maintenance, including aircraft systems, maintenance procedures, and regulatory compliance. The program emphasizes hands-on training in aircraft maintenance techniques and procedures.","Graduates can work as aircraft maintenance technicians, avionics technicians, or aircraft mechanics. They can find employment in airlines, aircraft maintenance facilities, aerospace companies, and aviation regulatory agencies."
BS AIRCRAFT TECHNOLOGY,BSAirT,"BS Aircraft Technology provides education in aircraft design, manufacturing, and maintenance. The program includes courses in aerodynamics, aircraft structures, propulsion systems, avionics, and aerospace materials.","Graduates can work as aircraft designers, aerospace engineers, aircraft technicians, or aviation researchers. They can find employment in aircraft manufacturing companies, aerospace research institutions, airlines, and government aerospace agencies."
BS AIRLINE BUSINESS ADMINISTRATION,BSABA,"BS Airline Business Administration focuses on the management and operation of airline businesses. The program includes courses in airline operations, aviation management, marketing, finance, and airline economics.","Graduates can work in various roles in airline management, including airline managers, operations supervisors, marketing executives, or aviation consultants. They can find employment in airlines, airports, aviation consulting firms, and government agencies."
BS AIRLINE MANAGEMENT AND ACCOUNTANCY,BSAMA,"BS Airline Management and Accountancy combines knowledge of airline management with accounting principles. The program includes courses in airline operations, financial accounting, managerial accounting, and airline economics.","Graduates can work in airline management positions, such as airline accountants, financial analysts, operations managers, or revenue managers. They can find employment in airlines, aviation consulting firms, airports, and government aviation agencies."
BS ANIMAL HUSBANDRY,BSAH,"BS Animal Husbandry focuses on the breeding, nutrition, health, and management of livestock species. The program includes courses in animal nutrition, reproduction, genetics, health management, and livestock production systems.","Graduates can work as livestock farmers, animal breeders, nutritionists, or animal health specialists. They can find employment in livestock farms, animal breeding companies, feed manufacturing companies, and veterinary clinics."
BS ANIMAL SCIENCE,BSASc,"BS Animal Science covers various aspects of animal biology, nutrition, behavior, and management. The program includes courses in animal physiology, animal genetics, animal nutrition, livestock production systems, and animal behavior.","Graduates can work as animal scientists, livestock managers, animal nutritionists, or animal researchers. They can find employment in livestock farms, research institutions, feed companies, veterinary clinics, and government agencies."
BS ANIMAL TECHNOLOGY,BSAnT,"BS Animal Technology focuses on the application of technology in the management and care of animals. The program includes courses in animal health care, breeding techniques, animal nutrition, and animal welfare.Program Outcomes: Graduates can work as animal health technicians, veterinary assistants, animal care specialists, or laboratory animal technicians. They can find employment in veterinary clinics, animal shelters, research laboratories, and agricultural facilities.","Graduates can work as animal health technicians, veterinary assistants, animal care specialists, or laboratory animal technicians. They can find employment in veterinary clinics, animal shelters, research laboratories, and agricultural facilities."
BS APPLIED BIOLOGY,BSAB,"BS Applied Biology emphasizes the practical applications of biological principles in various fields. The program includes courses in molecular biology, genetics, ecology, biotechnology, and applied research methods.","Graduates can work as biologists, laboratory technicians, environmental consultants, or research assistants. They can find employment in biotechnology companies, environmental organizations, research institutions, and government agencies."
BS APPLIED COMPUTER,BSAC,"BS Applied Computer focuses on the practical applications of computer science in solving real-world problems. The program includes courses in programming, software development, database management, and computer applications.","Graduates can work as software developers, systems analysts, IT consultants, or computer programmers. They can find employment in technology companies, software development firms, government agencies, and corporate IT departments."
BS APPLIED ECONOMICS,BSAEco,"BS Applied Economics applies economic principles to analyze and solve real-world problems in various sectors. The program includes courses in microeconomics, macroeconomics, econometrics, and applied research methods.","Graduates can work as economists, policy analysts, market researchers, or financial analysts. They can find employment in government agencies, consulting firms, financial institutions, and research organizations."
BS APPLIED MATHEMATICS,BSAMat,"BS Applied Mathematics focuses on the practical applications of mathematical principles in various fields. The program includes courses in calculus, differential equations, linear algebra, statistics, and mathematical modeling.","Graduates can work as mathematicians, data analysts, quantitative analysts, or operations researchers. They can find employment in research institutions, financial firms, technology companies, and government agencies."
BS APPLIED PHYSICS,BSApP,"BS Applied Physics applies principles of physics to solve practical problems in engineering, technology, and industry. The program includes courses in mechanics, thermodynamics, electromagnetism, optics, and materials science.","Graduates can work as physicists, research scientists, engineers, or technical consultants. They can find employment in technology companies, research laboratories, engineering firms, and government agencies."
BS APPLIED STATATISTICS,BSApSt,"BS Applied Statistics focuses on the practical applications of statistical methods in various fields. The program includes courses in probability theory, statistical modeling, data analysis, and experimental design.","Graduates can work as statisticians, data analysts, research scientists, or quality control specialists. They can find employment in government agencies, research institutions, healthcare organizations, and financial firms."
BS AQUACULTURE,BSAqua,"BS Aquaculture covers the principles and practices of fish farming and aquaculture production. The program includes courses in aquaculture systems, fish nutrition, water quality management, and aquaculture business management.","Graduates can work as aquaculture technicians, fish farm managers, aquaculture researchers, or aquaculture consultants. They can find employment in aquaculture farms, research institutions, government agencies, and aquaculture equipment suppliers."
BS ARCHITECTURE,BSArch,"BS Architecture focuses on the design and planning of buildings and structures. The program includes courses in architectural design, building technology, construction management, and architectural theory.","Graduates can work as architects, architectural designers, urban planners, or construction managers. They can find employment in architectural firms, construction companies, real estate development firms, and government agencies."
BS AUTO MOTIVE AND MECHANICAL TECHNOLOGY,BSAMT,"BS Automotive & Mechanical Technology provides education in automotive engineering and mechanical systems. The program includes courses in automotive technology, mechanical design, manufacturing processes, and vehicle diagnostics.","Graduates can work as automotive engineers, mechanical designers, automotive technicians, or manufacturing engineers. They can find employment in automotive companies, manufacturing firms, engineering consultancies, and government agencies."
BS AVIATION ELECTRONICS AND COMMUNICATIONS ENGINEERING,BSATCE,"BS Aviation Electronics & Communications Engineering focuses on the design, development, and maintenance of electronic systems for aviation and aerospace applications. The program includes courses in electronics, communications, avionics systems, and aircraft instrumentation.","Graduates can work as avionics engineers, communications specialists, aircraft electronics technicians, or aerospace systems engineers. They can find employment in aviation companies, aerospace engineering firms, government agencies, and defense contractors."
BS AVIATION ELECTRONICS ENGINEERING,BSAEE,"BS Aviation Electronics Engineering emphasizes the design, installation, and maintenance of electronic systems used in aircraft and aviation equipment. The program includes courses in electronic circuits, digital systems, aircraft navigation systems, and aviation communication systems.","Graduates can work as aviation electronics engineers, aircraft maintenance technicians, avionics technicians, or flight systems engineers. They can find employment in airlines, aircraft manufacturing companies, avionics suppliers, and aerospace research institutions."
BS AVIATION ELECTRONICS TECHNOLOGY,BSAvET,"BS Aviation Electronics Technology provides education in the installation, maintenance, and repair of electronic systems used in aviation. The program includes courses in electronic troubleshooting, avionics systems, aircraft instrumentation, and aviation safety procedures.","Graduates can work as aviation electronics technicians, avionics installers, aircraft maintenance technicians, or electronics repair specialists. They can find employment in airlines, aircraft maintenance facilities, avionics repair shops, and aerospace companies."
BS AVIATION TECHNOLOGY,BSAvT,"BS Aviation Technology covers various aspects of aviation operations, management, and technology. The program includes courses in flight operations, aviation safety, aircraft systems, air traffic control, and aviation regulations.","Graduates can work in various roles in the aviation industry, including flight operations, airport management, aviation maintenance, or air traffic control. They can find employment in airlines, airports, aviation management companies, and government aviation agencies."
BS AVIONICS TECHNOLOGY,BSAviT,"BS Avionics Technology focuses on the design, installation, and maintenance of avionics systems in aircraft. The program includes courses in avionics systems, digital electronics, aircraft navigation systems, and aviation communication systems.","Graduates can work as avionics technicians, aircraft electronics specialists, flight systems engineers, or avionics maintenance supervisors. They can find employment in airlines, aircraft manufacturing companies, avionics repair facilities, and government aviation agencies."
BS BANKING AND FINANCE,BSBFin,"BS Banking and Finance provides education in banking operations, financial markets, investment analysis, and financial management. The program includes courses in banking principles, financial institutions, risk management, and corporate finance.","Graduates can work in various roles in the banking and finance industry, including bank managers, financial analysts, investment bankers, or financial planners. They can find employment in banks, financial institutions, investment firms, and government agencies."
BS BEHAVIORAL SCIENCE,BSBS,"BS Behavioral Science explores human behavior and mental processes from various perspectives, including psychology, sociology, anthropology, and neuroscience. The program includes courses in behavioral research methods, social psychology, human development, and behavior analysis.","Graduates can work in human services, social work, counseling, research, or applied behavioral analysis. They can find employment in healthcare organizations, social service agencies, research institutions, educational institutions, and government agencies."
BS BIOCHEMISTRY,BSBioc,"BS Bio-Chemistry combines principles of biology and chemistry to study the chemical processes occurring in living organisms. The program includes courses in biochemistry, molecular biology, genetics, organic chemistry, and cell biology.","Graduates can work as biochemists, research scientists, laboratory technicians, or pharmaceutical researchers. They can find employment in pharmaceutical companies, biotechnology firms, research laboratories, and academic institutions."
BS BIOLOGICAL SCIENCE,BSBioS,"BS Biological Science covers various aspects of biology, including molecular biology, genetics, ecology, evolution, and organismal biology. The program includes courses in biology, laboratory techniques, scientific research methods, and biological diversity.","Graduates can work in various fields of biology, including research, healthcare, education, and environmental science. They can find employment in research institutions, biotechnology companies, pharmaceutical firms, educational institutions, and government agencies."
BS BIOLOGY,BSBio,"BS Biology offers a comprehensive education in the biological sciences, covering topics such as cell biology, genetics, ecology, physiology, and evolution. The program includes laboratory work, fieldwork, and theoretical studies to provide students with a broad understanding of living organisms and their environments.","Graduates can pursue various career paths in biology, including research, healthcare, education, environmental science, and biotechnology. They can work as biologists, laboratory technicians, environmental consultants, science educators, or healthcare professionals. Employment opportunities are available in research institutions, pharmaceutical companies, government agencies, educational institutions, and environmental organizations."
BS BOTANY,BSBot,"BS Botany focuses on the scientific study of plants, including their structure, physiology, ecology, and evolution. The program includes courses in plant biology, plant taxonomy, plant ecology, plant genetics, and plant physiology.","Graduates can work as botanists, plant biologists, plant ecologists, or horticulturists. They can find employment in botanical gardens, environmental organizations, research institutions, agricultural companies, and government agencies."
BS BROADCAST COMMUNICATIONS,BSBCom,"BS Broadcast Communications provides education and training in various aspects of broadcasting, including radio, television, and digital media. The program covers broadcasting principles, media production, journalism, media ethics, and media law.","Graduates can work as broadcast journalists, radio producers, television reporters, multimedia producers, or media researchers. They can find employment in broadcast networks, radio stations, television stations, digital media companies, and news organizations."
BS BUSINESS ADMINISTRATION,BSBA,"BS Business Administration offers a comprehensive education in business management, covering areas such as accounting, finance, marketing, human resources, and strategic management. The program prepares students for leadership roles in various industries.","Graduates can work in various roles in business management, including business managers, marketing executives, financial analysts, or human resource managers. They can find employment in corporations, small businesses, non-profit organizations, and government agencies."
BS BUSINESS ADMINISTRATION AND ACCOUNTANCY,BSBAA,"BS Business Administration & Accountancy integrates business administration principles with accounting practices. The program includes courses in accounting, finance, business management, taxation, and auditing.","Graduates can work as accountants, auditors, financial analysts, or business managers with a strong accounting background. They can find employment in accounting firms, corporations, financial institutions, government agencies, and non-profit organizations."
BS BUSINESS COMPUTER APPLICATIONS,BSBCA,"BS Business Computer Applications focuses on the application of computer technology in business operations and management. The program includes courses in computer applications, business software, information systems, and database management.","Graduates can work as business analysts, IT consultants, systems analysts, or database administrators. They can find employment in corporations, consulting firms, software companies, and government agencies."
BS BUSINESS DATA PROCESSING,BSBDP,"BS Business Data Processing focuses on the management and processing of business data using computer systems and software. The program includes courses in data management, database systems, data analysis, and business intelligence.","Graduates can work as data analysts, database administrators, business intelligence analysts, or data scientists. They can find employment in corporations, financial institutions, consulting firms, and government agencies."
BS BUSINESS ECONOMICS,BSBE,"BS Business Economics combines principles of economics with business management concepts. The program includes courses in microeconomics, macroeconomics, econometrics, business strategy, and managerial economics.","Graduates can work as business economists, economic analysts, market researchers, or financial advisors. They can find employment in corporations, financial institutions, consulting firms, government agencies, and research institutions."
BS BUSINESS EDUCATION,BSBEd,"BS Business Education prepares students to teach business subjects at the secondary or post-secondary level. The program includes courses in business administration, educational psychology, curriculum development, and teaching methods.","Graduates can work as business education teachers, curriculum developers, educational consultants, or training specialists. They can find employment in secondary schools, vocational schools, community colleges, and educational institutions."
BS BUSINESS MANAGEMENT,BSBM,"BS Business Management provides education in the principles and practices of business management, including leadership, organizational behavior, strategic management, and entrepreneurship.","Graduates can work as business managers, operations managers, project managers, or business consultants. They can find employment in corporations, small businesses, non-profit organizations, and government agencies."
BS BUSINESS TECHNOLOGY,BSBT,"BS Business Technology integrates business principles with technology applications to optimize business operations. The program includes courses in business administration, information systems, technology management, and digital innovation.","Graduates can work as technology consultants, business analysts, IT project managers, or digital transformation specialists. They can find employment in corporations, consulting firms, technology companies, and government agencies."
BS CERAMICS ENGINEERING,BSCerE,"BS Ceramics Engineering focuses on the study of ceramic materials, their properties, production processes, and applications. The program includes courses in ceramic materials science, ceramic processing techniques, kiln design, and ceramic product development.","Graduates can work as ceramics engineers, materials scientists, process engineers, or research scientists in industries such as aerospace, automotive, electronics, and construction materials."
BS CHEMICAL ENGINEERING,BSChE,"BS Chemical Engineering emphasizes the principles of chemical processes, including design, operation, and optimization of chemical reactors and processes. The program includes courses in thermodynamics, kinetics, transport phenomena, and process design.","Graduates can work as chemical engineers, process engineers, environmental engineers, or research scientists in industries such as petrochemicals, pharmaceuticals, biotechnology, and environmental engineering."
BS CHEMISTRY,BSChem,"BS Chemistry offers a comprehensive education in the principles and applications of chemistry. The program includes courses in organic chemistry, inorganic chemistry, physical chemistry, analytical chemistry, and laboratory techniques.","Graduates can work as chemists, laboratory technicians, research scientists, or quality control analysts in industries such as pharmaceuticals, biotechnology, materials science, environmental science, and forensic science."
BS CHEMISTRY FOR TEACHERS,BSCheT,"BS Chemistry for Teachers prepares students to teach chemistry at the secondary school level. The program includes courses in chemistry, education theory, teaching methods, curriculum development, and classroom management.","Graduates can work as chemistry teachers in secondary schools, educational consultants, curriculum developers, or science educators in museums or educational institutions."
BS CHILD DEVELOPMENT AND EDUCATION,BSCDE,"BS Child Development & Education focuses on the study of child development, educational psychology, and teaching strategies for children from infancy to adolescence. The program includes courses in child psychology, early childhood education, curriculum development, and educational assessment.","Graduates can work as early childhood educators, child development specialists, preschool teachers, or child life specialists in schools, childcare centers, community organizations, or government agencies."
BS CHRISTIAN EDUCATION,BSChrE,"BS Christian Education combines principles of education with theological studies in preparation for teaching in Christian schools or ministries. The program includes courses in Christian theology, biblical studies, educational philosophy, and teaching methods.","Graduates can work as Christian educators, youth ministers, Sunday school teachers, or educational administrators in Christian schools, churches, or non-profit organizations."
BS CIVIL ENGINEERING,BSCE,"BS Civil Engineering focuses on the design, construction, and maintenance of infrastructure projects such as buildings, bridges, roads, and water systems. The program includes courses in structural engineering, transportation engineering, geotechnical engineering, and environmental engineering.","Graduates can work as civil engineers, structural engineers, transportation engineers, or environmental engineers in consulting firms, construction companies, government agencies, or engineering organizations."
BS CLINICAL PSYCHOLOGY,BSCPsy,"BS Clinical Psychology provides education in the principles and practices of clinical psychology, including assessment, diagnosis, and treatment of mental health disorders. The program includes courses in abnormal psychology, counseling techniques, psychological assessment, and therapy.","Graduates can work as psychological assistants, research assistants, or mental health technicians in clinical settings, psychiatric hospitals, rehabilitation centers, or community mental health agencies."
BS CLOTHING TECHNOLOGY,BSCT,"BS Clothing Technology focuses on the study of textiles, apparel design, and clothing manufacturing processes. The program includes courses in textile science, fashion design, pattern making, garment construction, and apparel production.","Graduates can work as clothing technologists, fashion designers, textile researchers, or apparel production managers in fashion companies, textile manufacturers, garment factories, or retail companies."
BS COMMERCE,BSC,"BS Commerce provides a comprehensive education in various aspects of business and commerce, including accounting, finance, marketing, management, and economics. The program prepares students for careers in business management and related fields.","Graduates can work in various roles in business, including business managers, financial analysts, marketing specialists, or human resource managers. They can find employment in corporations, small businesses, non-profit organizations, and government agencies."
BS COMMUNITY DEVELOPMENT,BSCD,"BS Community Development focuses on empowering communities to address social, economic, and environmental challenges. The program includes courses in community organizing, sustainable development, social welfare policy, and project management.","Graduates can work as community development specialists, program coordinators, social workers, or community organizers. They can find employment in non-profit organizations, government agencies, international development organizations, or community-based organizations."
BS COMMUNITY HEALTH,BSCH,"BS Community Health focuses on promoting health and wellness in communities through education, prevention, and intervention programs. The program includes courses in public health, epidemiology, health education, and community health promotion.","Graduates can work as community health educators, public health officers, health program coordinators, or health promotion specialists. They can find employment in health departments, non-profit organizations, hospitals, or community health centers."
BS COMMUNITY NUTRITION,BSCN,"BS Community Nutrition emphasizes the role of nutrition in promoting health and preventing disease at the community level. The program includes courses in nutrition science, public health nutrition, community nutrition assessment, and nutrition education.","Graduates can work as community nutritionists, public health nutritionists, nutrition educators, or program coordinators in public health departments, non-profit organizations, healthcare facilities, or community agencies."
BS COMPUTER ACCOUNTING MANAGEMENT,BSCAM,"BS Computer Accounting Management integrates accounting principles with computer technology for managing financial information and accounting systems. The program includes courses in accounting, computerized accounting systems, financial management, and business information systems.","Graduates can work as accounting managers, financial analysts, accounting software consultants, or systems auditors. They can find employment in corporations, accounting firms, financial institutions, or consulting companies."
BS COMPUTER AND DATA PROCESSING MANAGEMENT,BSCDPM,"BS Computer and Data Processing Management focuses on the management of computer systems and data processing operations within organizations. The program includes courses in computer systems management, database management, information security, and IT project management.","Graduates can work as IT managers, systems analysts, database administrators, or network administrators. They can find employment in corporations, government agencies, financial institutions, or technology companies."
BS COMPUTER AND INFORMATION SCIENCE,BSCIC,"BS Computer and Information Science provides education in computer science principles, including programming, algorithms, data structures, software engineering, and computer systems. The program prepares students for careers in software development, IT consulting, or research.","Graduates can work as software developers, computer programmers, IT consultants, or systems analysts. They can find employment in technology companies, software development firms, government agencies, or research institutions."
BS COMPUTER EDUCATION,BSCoEd,"BS Computer Education prepares students to teach computer science and technology-related subjects at the secondary or post-secondary level. The program includes courses in computer science, educational technology, teaching methods, and curriculum development.","Graduates can work as computer education teachers, technology coordinators, educational consultants, or instructional designers. They can find employment in secondary schools, vocational schools, community colleges, and educational institutions."
BS COMPUTER ENGINEERING,BSCEng,"BS Computer Engineering combines principles of electrical engineering and computer science to develop computer hardware and software systems. The program includes courses in digital systems design, microprocessors, computer architecture, software engineering, and network systems.","Graduates can work as computer engineers, hardware engineers, systems designers, or embedded systems engineers. They can find employment in technology companies, telecommunications firms, consumer electronics companies, and research institutions."
BS COMPUTER INFORMATION SYSTEM,BSCIS,"BS Computer Information System focuses on the application of computer technology to business and organizational information systems. The program includes courses in information systems management, database systems, networking, and software applications.","Graduates can work as information systems managers, IT consultants, systems analysts, or database administrators. They can find employment in corporations, government agencies, healthcare organizations, and IT service companies."
BS COMPUTER SCIENCE,BSCS,"BS Computer Science provides a strong foundation in the theoretical and practical aspects of computing. The program includes courses in programming, algorithms, data structures, software engineering, artificial intelligence, and computer systems.","Graduates can work as software developers, computer programmers, systems analysts, or research scientists. They can find employment in technology companies, software development firms, financial institutions, and research organizations."
BS COMPUTER SECRETARIAL,BSCSec,"BS Computer Secretarial combines secretarial skills with computer proficiency to prepare students for administrative roles in modern offices. The program includes courses in office management, computer applications, business communication, and office automation.","Graduates can work as executive assistants, office managers, administrative coordinators, or office technology specialists. They can find employment in corporate offices, government agencies, educational institutions, and non-profit organizations."
BS COMPUTER TECHNOLOGY,BSCoT,"BS Computer Technology focuses on the practical application of computer systems and technology in various industries. The program includes courses in computer hardware, software applications, network administration, and information technology.","Graduates can work as computer technicians, network administrators, IT support specialists, or systems administrators. They can find employment in technology companies, IT service providers, educational institutions, and government agencies."
BS COOPERATIVE,BSCoop,"BS Cooperative studies the principles and practices of cooperative business models, emphasizing community development and social entrepreneurship. The program includes courses in cooperative management, cooperative law, financial management, and social enterprise.","Graduates can work as cooperative managers, social entrepreneurs, community development officers, or financial analysts for cooperatives. They can find employment in cooperative organizations, non-profits, government agencies, and community development projects."
BS COOPERATIVE DEVELOPMENT,BSCoD,"BS Cooperative Development focuses on the growth and management of cooperative enterprises and their role in sustainable community development. The program includes courses in cooperative economics, organizational behavior, project management, and community organizing.","Graduates can work as cooperative development officers, project managers, community organizers, or cooperative consultants. They can find employment in cooperatives, non-profit organizations, government agencies, and international development organizations."
BS CRIMINOLOGY,BSCrim,"BS Criminology provides education in the study of crime, criminal behavior, and the criminal justice system. The program includes courses in criminal law, forensic science, criminal investigation, and corrections.","Graduates can work as criminologists, forensic analysts, police officers, probation officers, or correctional officers. They can find employment in law enforcement agencies, forensic laboratories, correctional facilities, and government agencies."
BS CUSTOMS ADMINISTRATION,BSCA,"BS Customs Administration focuses on the management of customs processes, international trade regulations, and logistics. The program includes courses in customs laws, international trade, tariff systems, and supply chain management.","Graduates can work as customs brokers, import/export managers, logistics coordinators, or trade compliance officers. They can find employment in customs brokerage firms, international trade companies, logistics companies, and government agencies."
BS DATA PROCESSING,BSDP,"BS Data Processing focuses on the methods and technologies used to manage and process data in organizations. The program includes courses in database management, data analysis, information systems, and business intelligence.","Graduates can work as data analysts, database administrators, business intelligence analysts, or IT managers. They can find employment in corporations, financial institutions, healthcare organizations, and technology companies."
BS DEVELOPMENT COMMUNICATION,BSDC,"BS Development Communication integrates communication strategies with development goals to facilitate social change and community development. The program includes courses in communication theory, media production, social marketing, and community outreach.","Graduates can work as development communication specialists, public information officers, media producers, or community outreach coordinators. They can find employment in non-profit organizations, government agencies, international development organizations, and media"
BS DEVELOPMENT MULTICULTURAL COMMUNITIES,BSDMC,"BS Development Multicultural Communities focuses on the development of strategies and policies for fostering multiculturalism and diversity within communities. The program includes courses in cultural studies, community development, social policy, and multicultural education.","Graduates can work as community development officers, diversity consultants, cultural program coordinators, or social workers. They can find employment in non-profit organizations, government agencies, educational institutions, and community-based organizations."
